Product Name,Price,Shipping,Condition,URL,Source URL
Xboxone S,200.0,+$29.52 shipping,Used,https://www.ebay.com/itm/314873442718?_nkw=electronics&hash=item494feb719e:g:mrMAAOSwOEFlIOWP&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKncg6EaSXzFkSUhf7lYtizXo2whKzCzP%2FdtLFN06tKhVBf7YSb1sbZB8ciqBFAZsmn8nTjrFSs1SjWxZs5Msv2s0U%2FvaQ4TRZA9z1h6u%2BCX3JO4Ee9GeENiIEZYo3ceJueQdDuoxY2bxD1pwyuyWs8J8%2BGkQgbm0HLxiO7dYkPKEqarrlAtKBVot276PAB36weDsAyd8eblO51I29zaqb%2Bnwipzk7icFGf0e4q1mzq56Aij4crC8lt3hB3RuPWAMZPEd4pAXAmoM6v6MhJAmWlTj7k3RUm07E6EG2d52aaI6w%3D%3D%7Ctkp%3ABFBMquL38Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=17
Gaming Pad Console,60.0,+$11.97 shipping,Open box,https://www.ebay.com/itm/355298124851?_nkw=electronics&hash=item52b96b2433:g:Xp8AAOSwsUdlf5Sc&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkwAn59xElmh4PucxMuDvcMsFWMMFpsC4TfJxEmHBGt2wvOfiLTSHb%2F40wgP2tprVcrFup8vfkloRkU4AahDov7EI60qwjY6UTalqRZ2omV4SqTN30TEaDp%2FovbHeFbB4fyIefcbTOj4ZFeGJwyyYebOGDFZc89cIrIUxM32STcbhSxUdnZewWjiuVKs2cgL9xlWSgXMfRqCM1dbzR47Wa3BE6N76r4uKeprpzDjvy3AaTRtlXBAcedCxDnP7yJqiWX46XOqxxfIHNLKJIgP7L%2F%7Ctkp%3ABFBMxu_38Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=31
Nintendo Wii Console Bundle (2) Cont & (3) Games & Sensor Bar-Tested,71.99,+$33.20 shipping,Used,https://www.ebay.com/itm/355492776967?_nkw=electronics&hash=item52c5054c07:g:p70AAOSwPvFlcTaX&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKnyRw48Vz8gMUXIccdiOcI7Xp%2FpPcrxXMthWVfBdxxxp88mbk1nPdvFPQJeKyKpyfc5Xf%2BhE7i2FpLlXSVal2YGf3spRJeUPTgWSvgkLRC19c6OmHHeLAJCJqyo%2F1ptqhmClXJ2qpLiobykCKHZ%2FipGhwpE5UF%2B22nwZhK17YHPfKYm5gDFt6ZRZSSaqUrQxFPuDEG0xwxGGfw6YUkAod%2FzKUxbiFlq5Jz%2FT7QDj%2B%2B7DnteN5Fjiqc71irU%2FnDCxVBVJ9uuPLdpOriTiMmn8a2R%7Ctkp%3ABFBMwPT38Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=32
New ListingNintendo Entertainment System NES Console (NES-001)  Two Controllers And Cords,74.0,+$12.81 shipping,Used,https://www.ebay.com/itm/405212472185?_nkw=electronics&epid=1436942091&hash=item5e588ba379:g:X54AAOSwqRRm2mg3&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKksLN2u%2Fdm1X2wFBI6kbGoBEyaVwHxyXh5%2Ba0yIec7fbwrmhc7QHZWKc30sKg85X1iG4h5Se7TqnaYf8nsCUEPqvA59aEW7evp5grXsbPodFSD6RldiyfIbGy6dpXbkuEyaQA3EioSojnH3XeQ1QvdtqNHQs6YMae4rOUNJN2FJaaX3o%2FAnrGm0kqAkndElJRQyIanOS%2BMmAcfJyIzSdBzkvTN4xzMC4v9%2FhqqayBijQVBzEXpWKoCaFyg28rcHTpKGDh0nUGBbVxUs5IUUPpId%7Ctkp%3ABFBMrt738Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=15
video game systems bundles,1200.0,+$51.77 shipping,Used,https://www.ebay.com/itm/404940593355?_nkw=electronics&hash=item5e485718cb:g:VloAAOSwL89mKQq4&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKkeGlJ%2BMqS6eTzN%2Bqcaz%2BHu%2BDrzdcolN0Lq4NDceNLJWoEErp1X%2Bf9ki9w5phZ7RWgsHaIe%2FiNvRUunGbJ5iYgUmgn5qRxKkYC8fkbZkYe1fDCVBmg5SEL9%2FJuuHqBp8MxY4R0jITckgZxF6OuHolLybRIlNGASI5F7c%2FWdc9h03j%2FcJsWKltuB%2BxUZfe9shE%2Fgd8kbjp79PSaCA7fzhHghvyDmmPQYyIcWxBJoXDxnyzHiE%2FjO36HlK8Noeoh9L%2F%2BNs%2FCTpxRkhMYHwO%2B4lHEumfaHuMVUcNY51wrgkYXYUw%3D%3D%7Ctkp%3ABFBMquL38Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=17
Microsoft Xbox One 500GB Console - Black (5C5-00025) + games and pro controller,100.0,+$14.95 shipping,Used,https://www.ebay.com/itm/404298422098?_nkw=electronics&epid=221180106&hash=item5e22105752:g:VzwAAOSwWL9kaVYS&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKkwkPGuRNj1CxgF1cCrQs6u22UJTP7V3vLv9HOryuoOD9E6yrXtQ15mAguzDbgdTCT%2BfV20PPWvb1e86viJEXP9pk81ge2ugoMG%2FN3%2FFRiLS67%2FxYuUysi%2FfzCjnkvzP4zPCBkzgNRG6fwi8OxBW9af2qg3bMtyUbS%2F04X3w9JQQZwZ5wSwgbj8Wh4wHaBc%2B4pJX2GaT%2FxgO5KysWIOioVYE0dDp6NOKP9bByYtH8Y6VgnFce%2BY6w1nEgDXJm8nVzjJgI%2BzwjIS6OyBVlJ08lu9%7Ctkp%3ABFBMxor48Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=45
nintendo dsi with charger and Game,90.0,+$7.94 shipping,Used,https://www.ebay.com/itm/145816494320?_nkw=electronics&hash=item21f35720f0:g:M3wAAOSwiUNl7Mya&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKmCzo5ONp62yPeNb1zQfl8L99SvdQurgyuCgLuWmg9z1oRYKy%2BDlqDNvBktxjJpNIlTAnsLa9c07CRoPeTmMV3sER0DEi7toP3J7Z8w3N4rcD5Y1Tit0tEnIix%2B4u0FbLYKg2dthOQOghdcoMZUSz59FmQT68LM%2BRkByFY7z4JZalksE79Uha73%2BugUtGktoL%2Ba1EIqbxujwKI6%2F70UqcsD0KeqmPXFKnwjp9RdvQUImmO1YuGhfWgV9A9OJsaKUBqgkhqiQ7HwCYT5TJ%2BSRTY5NG8TzGD9RU0pMOOixYUkIw%3D%3D%7Ctkp%3ABFBMxu_38Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=31
xbox one console 500gb,179.99,+$58.53 shipping,Used,https://www.ebay.com/itm/386707195180?_nkw=electronics&hash=item5a098b852c:g:ra8AAOSw-T9lseKl&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKn6rWdfbFY%2Fnh8XdGx76dUMxSXoiI4DmWqCoNcDH6floCeBVt0bgjEEeOh4FGuNZ1rfN%2BUfP33cQUvUwnxbWFPa6xoQYePK%2FAjgUzjZO1oxPfuZi6osrb2WMyJSB28rqMYc6TZbARMDUsobNu%2FMrPlMVNi5EAi4R9P2B3tdxufoFNsZdeh2DuW%2BjpBcEGBgd57b2fUY5OVDxvIA1EpFVYURoziRCEhu7g5o6hNoIqgqWQzDBWMA7h%2Fc7SjAdpU2t2hK57xr%2B%2FQR4ybw09wpgqZaEFezd%2BnGWL%2BB9ATPf7jd9Q%3D%3D%7Ctkp%3ABFBMwPT38Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=32
"New ListingRG353V Retro Video Handheld Game Console Android 11+Linux System, 3.5 Inches IPS",55.0,+$9.17 shipping,Used,https://www.ebay.com/itm/356018205817?_nkw=electronics&hash=item52e456b479:g:Y4UAAOSwfvVmslsG&itmprp=enc%3AAQAJAAAA4HoV3kP08IDx%2BKZ9MfhVJKlLdJJ5zvaq8ePE22MulmJTaXyR0z8ZRG8GbBuLVqSlnZdMtedjTdscY3I5o9NTzmcpsT3xs9PB4dGFgLOKG1YTpvxGwjuM4pncvV36C5InJePFRl48fmiQID7fEjVDi94mayLON387EGq7eYFQg%2FRZsT%2BBPCdSFiwmEawnAmxjdhQ%2FN1G%2F5%2BQfelHv7tuSXB%2BBm06byCH3x%2BF5s5FWPdNEnLVbjdQ2y7IZzKDp31BmMIF9Hk3ZDHqVSr4M7eldTNyt%2FEkr8PTuQrW0nl%2FeLvPF%7Ctkp%3ABFBMrt738Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=15
New ListingNintendo 2DS  Red & Black Handheld System Charger,75.0,+$8.85 shipping,Used,https://www.ebay.com/itm/356017644811?_nkw=electronics&hash=item52e44e250b:g:IdoAAOSw0fNmnDHU&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKl%2FeF1QtiWN5CQoIEEYbf1BRZbkAK%2Fd3wRj%2B0mKXypaWvedsUCaUzdc8FagJuwMxy89ApA4r7K2iBI5usYa96kETRFhW5C%2FnFq4kKkHpZMcf27VGzeyu5PZxrI%2BYrpuPLGB3%2Br2t2PPpMAFBuinlMBFdQxF15L1mf0bjLLLMqjtJwfdRoIlXH9GuUNGWpS6vxFRHF70c8zvVSqubabh2RVR%2FTlVPs7tEV0Cge39ncePdih9Q%2FkkgduBQxtGudH3Yzs%3D%7Ctkp%3ABk9SR6ri9_C4ZA,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=17
New ListingGopher And Speedway 2,11.0,+$9.17 shipping,Used,https://www.ebay.com/itm/375632589464?_nkw=electronics&hash=item5775727298:g:tAYAAOSwLzZm2lVX&itmprp=enc%3AAQAJAAAA0HoV3kP08IDx%2BKZ9MfhVJKnqpVNk11ijzMVT4O3cGIrnYuv10wKy8xHarE1sJAYWvsL5DS%2FLwSPcI4yMaNUiXF2rWi7B2%2B3XhPRoafBnweod0cg17i2ailm6Eq7%2BpWfN66qf0XfpoiUaV8F1ZvKVBm69DzI5DrhtCCFwu4r%2BLpNfowIDyz2LjeuZGLth6TCgtuzmsZ4nlrQI5jxyhhVDtLQoJFy3O62S8LE5AnatvvtLzfIT9UdiRtIahXavSTQaHu8QXcQwyD6bSgJde8yf%2FN4%3D%7Ctkp%3ABk9SR8bv9_C4ZA,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=31
Sony playstation 1 with games (read description),315.0,+$27.34 shipping,Used,https://www.ebay.com/itm/166000473711?_nkw=electronics&hash=item26a666366f:g:m-IAAOSwq~tkILC6&itmprp=enc%3AAQAJAAAA8HoV3kP08IDx%2BKZ9MfhVJKl0DetC0NJQ7xOFEGcCJ0282odaU7whJH7u%2FCwrS%2F7mTVp9kYKCYSTE95sB4sCPATk1EAO989xLt6ewtGghlwebnIvAxI162Y0x8jiQbxxrg%2F1kZNrVKc17gkgrIX4nYhvs91uTfA7Hl887JFJoXHrDcVXBNkYHZ3QsqgBnqJO3vVZh%2BY10HFOOVfrrNrGQ4nRpFZu53arRD8YJoVZUzyut%2BeByLccDF1TyRbqqcDuceeWbyXzCgX5yh8zNt8Yi3rAy35Y%2B8a7lMfSOivNBkqXcagYiPJ9WkXB4oxDjC1Jx%2FA%3D%3D%7Ctkp%3ABFBMyIr48Lhk,https://www.ebay.com/sch/i.html?_nkw=electronics&_pgn=45
